Position,Name,ID,Name+ID,Team,Game,Avg FPPG,Salary
WR,Christian Kirk,1653531,Christian Kirk (1653531),Cardinals,ARI @ CIN,13.75,"$9,800.00 "
WR,Mecole Hardman,1653584,Mecole Hardman (1653584),Chiefs,IND @ KC,9.1,"$9,800.00 "
WR,Emmanuel Sanders,1653469,Emmanuel Sanders (1653469),Broncos,DEN @ LAC,17.45,"$9,700.00 "
WR,Phillip Dorsett II,1653511,Phillip Dorsett II (1653511),Patriots,NE @ WAS,13.7,"$9,700.00 "
WR,Mike Williams,1653544,Mike Williams (1653544),Chargers,DEN @ LAC,7.9,"$9,500.00 "
WR,Parris Campbell,1653583,Parris Campbell (1653583),Colts,IND @ KC,5.47,"$9,500.00 "
WR,Michael Gallup,1653464,Michael Gallup (1653464),Cowboys,GB @ DAL,19.3,"$9,300.00 "
WR,Will Fuller V,1653573,Will Fuller V (1653573),Texans,ATL @ HOU,8.07,"$9,300.00 "
WR,Nelson Agholor,1653525,Nelson Agholor (1653525),Eagles,NYJ @ PHI,13.7,"$9,200.00 "
WR,Calvin Ridley,1653443,Calvin Ridley (1653443),Falcons,ATL @ HOU,12.92,"$9,200.00 "
WR,Golden Tate,1653529,Golden Tate (1653529),Giants,MIN @ NYG,0,"$9,100.00 "
WR,Demarcus Robinson,1653499,Demarcus Robinson (1653499),Chiefs,IND @ KC,15,"$8,900.00 "
WR,Chris Conley,1653493,Chris Conley (1653493),Jaguars,JAX @ CAR,10.17,"$8,900.00 "
WR,Cole Beasley,1653462,Cole Beasley (1653462),Bills,BUF @ TEN,12.65,"$8,800.00 "
WR,Curtis Samuel,1653559,Curtis Samuel (1653559),Panthers,JAX @ CAR,10.77,"$8,800.00 "
WR,Willie Snead IV,1653570,Willie Snead IV (1653570),Ravens,BAL @ PIT,8.85,"$8,800.00 "
WR,Robby Anderson,1653523,Robby Anderson (1653523),Jets,NYJ @ PHI,7.16,"$8,800.00 "
WR,Zach Pascal,1653489,Zach Pascal (1653489),Colts,IND @ KC,6.12,"$8,800.00 "
WR,Jamison Crowder,1653552,Jamison Crowder (1653552),Jets,NYJ @ PHI,12.26,"$8,500.00 "
WR,Kenny Stills,1653505,Kenny Stills (1653505),Texans,ATL @ HOU,8.95,"$8,400.00 "
WR,Marqise Lee,1653564,Marqise Lee (1653564),Jaguars,JAX @ CAR,0.5,"$8,400.00 "
WR,Mohamed Sanu,1653444,Mohamed Sanu (1653444),Falcons,ATL @ HOU,12.02,"$8,300.00 "
WR,A.J. Brown,1653582,A.J. Brown (1653582),Titans,BUF @ TEN,11.82,"$8,300.00 "
WR,Randall Cobb,1653474,Randall Cobb (1653474),Cowboys,GB @ DAL,9.2,"$8,300.00 "
WR,Paul Richardson Jr.,1653555,Paul Richardson Jr. (1653555),Redskins,NE @ WAS,11.22,"$8,200.00 "
WR,Corey Davis,1653479,Corey Davis (1653479),Titans,BUF @ TEN,8.57,"$8,200.00 "
WR,Diontae Johnson,1653587,Diontae Johnson (1653587),Steelers,BAL @ PIT,7.66,"$8,000.00 "
WR,James Washington,1653539,James Washington (1653539),Steelers,BAL @ PIT,4.93,"$7,900.00 "
WR,Hunter Renfrow,1653591,Hunter Renfrow (1653591),Raiders,CHI @ OAK,4.97,"$7,800.00 "
WR,Taylor Gabriel,1653450,Taylor Gabriel (1653450),Bears,CHI @ OAK,13.36,"$7,700.00 "
WR,Tre'Quan Smith,1653518,Tre'Quan Smith (1653518),Saints,TB @ NO,9.25,"$7,700.00 "
